City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,7.14,84,54,5.28,GS,1706589132
1,riachao das neves,-11.7461,-44.91,20.55,92,28,0.51,BR,1706589133
2,longyearbyen,78.2186,15.6401,-2.09,74,75,5.14,SJ,1706589133
3,flying fish cove,-10.4217,105.6791,26.82,94,100,2.06,CX,1706589133
4,puerto natales,-51.7236,-72.4875,8.94,95,100,0.97,CL,1706589133
5,adamstown,-25.066,-130.1015,24.53,80,100,6.39,PN,1706589134
6,orsk,51.2049,58.5668,-11.5,92,0,2.0,RU,1706589134
7,jamestown,42.097,-79.2353,-0.55,96,100,3.09,US,1706588873
8,pacific grove,36.6177,-121.9166,13.82,85,0,2.57,US,1706588945
9,badger,64.8,-147.5333,-23.26,71,100,0.0,US,1706589135
10,kodiak,57.79,-152.4072,-15.27,51,0,4.63,US,1706589135
11,waitangi,-43.9535,-176.5597,19.34,95,96,2.24,NZ,1706589135
12,rosice,49.1823,16.3879,0.52,87,0,5.66,CZ,1706589135
13,adel,31.1371,-83.4235,6.94,95,0,2.68,US,1706589135
14,manggar,-2.8833,108.2667,29.42,68,85,2.44,ID,1706589136
15,laguna,38.421,-121.4238,15.59,85,0,0.0,US,1706589136
16,kidal,18.4411,1.4078,15.59,21,0,5.92,ML,1706589136
17,blackmans bay,-43.0167,147.3167,23.07,41,25,3.52,AU,1706589136
18,anadyr,64.75,177.4833,-34.72,75,100,6.0,RU,1706589136
19,vorgashor,67.5833,63.95,-13.5,85,100,7.76,RU,1706589137
20,port saint john's,-31.6229,29.5448,25.13,82,34,8.91,ZA,1706589137
21,santo antonio do ica,-3.1022,-67.9397,24.03,98,97,0.88,BR,1706589137
22,kalevala,65.2,31.1667,-0.51,89,88,6.26,RU,1706589137
23,fort st. john,56.2499,-120.8529,7.94,61,20,2.57,CA,1706588908
24,bilibino,68.0546,166.4372,-31.09,99,100,2.01,RU,1706589138
25,marataizes,-21.0433,-40.8244,23.59,96,99,2.6,BR,1706589138
26,grand-lahou,5.1367,-5.0242,25.48,87,10,2.84,CI,1706589138
27,vila franca do campo,37.7167,-25.4333,18.27,99,58,6.08,PT,1706589138
28,cabo san lucas,22.8909,-109.9124,24.61,57,100,1.72,MX,1706589128
29,mirnyy,62.5353,113.9611,-26.63,89,18,2.62,RU,1706589139
